(Anonymous) Stat Unit ID	Materialist yes/no	Religious yes/no	Religion	Practising religion yes/no	Reincarnation in anything yes/no	Reincarnation in a new individual yes/no	OBE real ? yes/no	Ever experienced an OBE?	NDE real? yes/no	Ever experienced a NDE?	Ever experienced lucid dreaming (indicated approx # times) ?	Ever withnesses or heard of "Teminal Lucidity" of some relative or friend ?	Mind is coincident with brain yes/no	Mind is an emergent property of the brain activity ?	Inner self coincident with brain yes/no	Consciousness continues after death	Inner self continues after death	All individuals are manifestations of a unique self to which they merge again yes/no	Individual is formed by several bodies residing in different dimensions  yes/no	A spiritual dimension exists yes/no	Name some world top scientists who had/have some "mistic" conception of reality or interested in the transcendent	Is this a "representative sample" of a larger population ? Why?	Do you think that in the general population the results will be quite different from this sample ? How?	Do you think that looking at other answers is influencing your responses? Why?	Are you happy? Yes/no
Regulation (EU) 2016/679	yes	no	-	no	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	no	no	Carl Jung, Stanislav Grof, Roberto Assagioli	It could be, people who are not religious could have similar opinions	Yes, because as we can capture from this statistics, there are more people who believe in some religion.	no, because this is personal 	no
1933541	Yes	No	-	No	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No	No		No because most of us have the same age, culture and background 	Yes because in a general population the are individuals with different age, religion and background 	No	
1933529	yes	no	-	no	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	no	no		no	Yes, because there are many others religione/cultures that are not considered in this survey	no	
1936709	yes	no	-	no	no	no	no		no				no		no	no	no	no	no	no					
2111409	yes	yes	Hindu	No	no	no	no		no				no		no	no	no	no	no	no					
3092000	yes	no	-	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no		No			
1234567	yes	yes	Christian	yes	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	no	no					
2150048	yes	no	-	no	no	no	no	no	no	no	no	yes	no		no	no	no	no	no	no		no	The survey results vary depending on age,religion and background of people		
1843916	yes	yes	Christian	yes	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	no	no	Carl Gustav Jung, Fred Alan Wolf	No as age plays a huge role when thinking about specific topics such as this one; though it would be biase not to consider also that we come from a scientific background, thus implying that most of us have a more "empirical" approce to life.	Yes, as previously said, ag plays a huge role, as also for the example the cultural background of the subjects.	No, I strongly believe in what my religion supports.	
1811290	yes	no	-	no	no	no	n	no	no	no	no	no	no												
RandomNumber	yes	no	-	no	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	no	no					
1888414	no	no	-	no	no	no	no	no	no	no	yes, 10	yes	yes	yes	yes	no	no	no	no	yes	Don't know any	no	yes	No, this is a survey and i responded sincerely for the intereset of the study	
2139837	No	Yes	Christian	Yes	No	No	No	No	No	No	No	No	No	No	Yes	No	No	No	No	No		No		No 	
1600	yes	No	-	No	No	No	Yes	No	Yes	No	Yes, 8	No	No	No	No	No	No	No	No	No	?	No	Yes because the general population (in italy) is older than the median in the classroom, which usually is correlated with people being more religious	No	
2125117	yes	yes	Christian	no	no	no	yes	no	no	no	yes,5	no	no	no	yes	no	no	no	no	no				no	
ZioSaba	no	yes	Christian	no	no	no	yes	yes	no	no	no	no	no	no	yes	yes	no	no	yes	yes	Don't know	no	yes	no	yes
2090065	no	yes	Orthodox	no	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	no	no	Don't know	No	Yes	No	
a contributor	yes	no	-	no	no	no	no	no	no	no	no	no	yes	yes	yes	no	no	no	no	no		no	yes	no	
1813358	yes	no	-	no	no	no	no	no	no	no	yes, 1	yes	yes	yes	yes	no	no	no	no	no		Yes, students in computer science	yes	no	yes
anonymous	yes	no	-	no	no	no	no	no	no	no	maybe 1	yes	no	yes	no	no	no	no	no	no		yes, Sapienza University students	yes	no	
1941541	no	no	Buddhism	yes	yes	yes	yes	no	yes	no	yes, 1	no	no	no	no	yes	no	no	no	yes		no	yes	no	
2468100	no	no	-	yes	no	yes	yes	yes	yes	no	yes	yes	yes	no	no	yes	no	no	no	yes		no	yes	no	
1933472	No	No	-	No	Yes	Yes	No	No	Yes	No	Yes, 10	No	No	Yes	No	Yes	No	No	Yes	No	-	Yes, different religious ideas in people with the same age	Yes, since different people from different cultures, countries, ages could have very different ideas about religion and after life	No, since I'm sure about my personal ideas about this topics	No
X ̠ A-XII	yes	no	-	no	no	no	no	no	yes	no	yes, 1 or 2	no	no	yes	no	no	no	no	no	no	-	-	it dependes on what the population is considered to be	no	
2143366	no	no	-	no	no	no	no	no	no	no	yes, 1	no	yes	yes	no	no	no	no	no	no	Erich Fromm	no	yes	no	idk
24_10	no	yes	Christian	no	no	no																			
Jueia	yes	no	-	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	no	no	no					
1968050	yes	no	-	no	no	no	no	no	no	no	yes 1	no	yes	yes	yes	no	no	no	no	no		yes, as sapienza students	yes	No	
2137544	yes	no	-	no	no	no	no	no	no	no	maybe 3	no	yes	yes	yes	no	no	no	no	no	-	yes, the questions are generics	Yes, in this sample there are only young guys 	No	yes
2151856	yes	no	-	no	no	no	yes	no	yes	no	yes, 2	no	no	yes	no	no	no	no	no	no	-		yes	no	
AnonymousBlades	yes	no	-	no	no	no	no	no	no	no	2	no	no	yes	no	yes	no	no	no	no	Don't know	Yes, the sample is large and heterogeneous	Yes because each of us is influenced by the place where we growed up, the place where we leave and the people orund oursleves	No, because I'd prefer to not be influenced by others' opinions	no
1945109	no	no	-	no	no	no	no	no	no	no	yes, 5	no	yes	yes	yes	no	no	no	no	no	dont know	no	yes	no	yes
delulusince2002	no	no	-	no	no	no	no	no	yes	no	yes, 1	no	no	yes	yes	yes	yes	no	no	yes	-	Yes, different religious ideas in people with the same age	Yes because each of us is influenced by the place where we growed up, the place where we leave and the people around oursleves	no	no
70704040	yes	no		no	no	no	no	no	no	no	yes	no	no	yes	no	no	no	no	no	no	don't know	no, all the students are from the same year of the same course	yes, because the sample is not representative of the general population	no, I read other lines after writing mine	
1842804	yes	no		no	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	no	no		yes	yes	no	
1947898	yes	no	-	no	no	no	no	no	no	no	yes 5	no	yes	yes	no	no	no	no	no	no	-	no	yes	no	yes
2094810	yes	no	-	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	-	no		no	no
2133183	no	yes	Christian	yes	no	no	no	no	no	no	no	no	no	no	no	yes	no	no	no	yes	-	no		no	yes
Utente2807	yes	yes	Christian	no	no	no	no	no	no	no	yes, many	no	no	yes	no	no	no	no	no	can't say	-	yes	yes because I think we are too few		
1933420	yes	no	-	no	no	no	no	no	no	no	no	no	yes	yes	yes	no	no	no	no	no	-	yes	no	no	
2141268	yes	no	-	no	no	no	no	no	no	no	yes 3	no	yes	yes	yes	no	no	no	no	no	Carl Jung	yes, religious data in students with the same age	yes, because a general population probably will have different religous ideas from this sample. It will come out probably a more balanced statistics	no, this answers are purely personal	yes
Cheza	no	yes	Christian	yes	no	no	yes	no	yes	no	yes, maybe around 5 times	yes	no	yes	no	no	no	no	no	yes	don't know	yes, it could be if we consider the population as all the people of this course and the sample as just the people who are answering here	yes, for example taking this survey in another country may result in a different main religion 	no, not for me in this case, but I think it may influence some people depending on the context	no
NisiOsiN	Yes	No	-	no	no	no	no	no	no	no	Yes, 4	no	Yes	Yes	Yes	No	No	No	No	No	-	No, too few entries	Yes, depends of which field we are talking about	No	Yes
2107930	yes	no	Orthodox	no	no	no	no	no	no	no	yes, many	no	yes	yes	yes	no	no	no	no	no	-	It could be representative of various kinds of populations having similar characteristics: faculty students, engineering students. Of course the representativeness also depends on the particular investigation being made	yes	no	yes
1883018	Yes	No	-	No	No	no	no	no	no	no	no	no	no	yes	no		no	no	no	no	-	no		no	yes
1946175	yes	no	-	no	no	no	no	no	no	no	no	no	yes	yes	yes	no	no	no	no	no	-	yes, if we condsider 20-30 years old students of STEM subjects as a population	yes, the age plays a big role and also the background	no	no
101023	yes	no	-	no	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	no	no	-	no	yes: different ages, backgrounds, countries	no	-
novaavon	no	no	-	no	no	no	no	no	yes	no	yes, 6-7	no	no	yes	no	no	no	no	no	no	-	yes	yes	yes	it depends
1916744	yes	yes	Christian	yes	Yes	Yes	yes	no	yes	no	yes, 5	no	yes	yes	yes	no	yes	no	no	yes	-	yes	yes	no	no
2117333	no	no	-	no	no	no	no	no	no	no	yes, 1	no	no	yes	no	no	no	no	no	no	-	no	yes	no	no
Francesco Totti	no	no	-	no	Yes	Yes	Yes	Yes	Yes	Yes	Yes, 7	No	no	yes	no	yes	yes	no	yes	yes	Albert Hofmann	No	Yes, because of different cultures	No, because it's a topic I've already thought about	Yes
anon	yes	no	-	no	no	no	no	no	no	no	yes, aroud 5 times	no	yes	no	no	no	no	no	no	no	-	yes	yes, different culture	no	yes
X	Yes	No	-	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	No	No	No	Yes	-	Yes, if we consider all Sapienza students as larger population 	Yes, due to different types of thoughts	No, i don't want to be influenced by others	Yes
Q	yes	no	-	no	no	no	no	no	no	no	yes 1 time	no	yes	no	yes	no	no	no	no	no	-	yes, if we condsider 20-30 years old students of STEM subjects as a population	depends on the population we consider	no	no
4578	yes	no	-	no	no	no	no	no	no	no	no	yes	yes	yes	yes	no	no	no	no	yes	-	no	yes	no	
The Duck	no	no	-	no	no	no	no	no	no	no	yes 5 times	no	yes	yes	yes	yes	no	no	no	Yes	-	no	yes	no	idk
2126556	No	No	-	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	No	No	Yes	No	No	-	No	Yes, it depends by population choosen 	Yes, partially 	- 
4242564	yes	no	-	no	no	no	no	no	no	no	yes, more than 10	no	yes	yes	no	no	no	no	no	no	.	no	yes, because the sample is not representative of the general population	no	no
1800	Yes	No	-	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	No	No	No	No	No		No		No	It depends